GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP010335	0.004	0.641	0.001	0.035	0.255	0.789	0.513	0.882	0.72	0.141	0.284	0.106	0.19	0.069	0.145	0.375	0.751	0	""	NEL-LIKE PROTEIN 1 [Source:VB Community Annotation]
AGAP001380	0.004	0.672	0	0.402	0.09	0.418	0.354	0.025	0.48	0.03	0.178	0.498	0.001	0.557	0.003	0.015	0.044	0.001	""	translation initiation factor 6 [Source:VB Community Annotation]
AGAP009734	0.004	0.02	0.11	0	0.022	0.624	0.895	0.779	0.655	0.119	0.034	0.051	0.059	0.37	0.023	0	0	0	""	wingless-type MMTV integration site family, member 1 [Source:VB Community Annotation]
AGAP010152	0.004	0.506	0.004	0.063	0.041	0.088	0.674	0.847	0.415	0.058	0.004	0.004	0	0.003	0	0.04	0.183	0.562	""	gem associated protein 5 [Source:VB Community Annotation]
AGAP006797	0.004	0.065	0.013	0.203	0.895	0.485	0.522	0.682	0.802	0.702	0.416	0.981	0.169	0.948	0.162	0.935	0.324	0.607	""	double-strand break repair protein MRE11 [Source:VB Community Annotation]
AGAP013519	0.004	0.015	0	0.016	0.417	0.793	0.657	0.068	0.229	0.41	0.004	0.78	0.003	0.022	0.086	0.271	0.694	0.956	""	U6 snRNA-associated Sm-like protein LSm3 [Source:VB Community Annotation]
AGAP010261	0.004	0.003	0.277	0.001	0.196	0.855	0.866	0.237	0.292	0.321	0.761	0.317	0.629	0.422	0.725	0.021	0.974	0.941	""	Dystrophin Dp427c isoform [Source:VB Community Annotation]
AGAP007725	0.004	0.277	0	0.944	0.979	0.951	0.34	0	0	0.013	0.001	0.373	0.131	0.488	0.205	0.315	0.019	0.013	""	""
AGAP012912	0.004	0.039	0.832	0.009	0.035	0.926	0.25		0.45	0.088	0.008	0.053	0.007	0.053	0.005	0.945	0.92	0.666	""	""
AGAP000170	0.004	0.811	0.007	0.462	0.978	0.892	0.264	0.072	0.008	0.302	0	0.624	0	0.176	0	0.17	0.002	0.213	""	NADH dehydrogenase (ubiquinone) Fe-S protein 7 [Source:VB Community Annotation]
AGAP003848	0.004	0.868	0.008	0	0.025	0.93	0.136	0.016	0.023	0.972	0.095	0.928	0.146	0.717	0.04	0.262	0.172	0	""	acyl-CoA thioesterase 9.1 [Source:VB Community Annotation]
AGAP002990	0.004	0	0	0.01	0.622	0	0.009	0.054	0	0.223	0	0.338	0	0.768	0.004	0.001	0	0	""	""
AGAP008693	0.004	0	0.339	0	0.121	0.038	0.798	0.216	0.02	0.845	0.803	0.488	0.48	0.17	0.142	0.104	0.263	0.484	""	Leptin receptor overlapping transcript-like 1 [Source:VB Community Annotation]
AGAP009827	0.004	0.541	0.508	0.233	0.942	0.949	0.08	0.021	0.263	0.049	0.001	0.057	0.001	0.008	0	0.054	0.853	0.368	""	CCR4-NOT transcription complex subunit 4 [Source:VB Community Annotation]
AGAP011244	0.004	0.45	0	0.365	0.003	0.451	0.56	0.051	0.115	0.13	0.065	0.773	0.617	0.813	0.916	0.003	0.275	0.415	""	rRNA 2'-O-methyltransferase fibrillarin [Source:VB Community Annotation]
AGAP003036	0.004	0.132	0	0.282	0.888	0.76	0.244	0.995	0.315	0.975	0	0.664	0	0.954	0	0.499	0.024	0	""	histone deacetylase complex subunit SAP18 [Source:VB Community Annotation]
AGAP001653	0.004	0.911	0	0	0	0.019	0.951	0.113	0.013	0.197	0	0.791	0	0.932	0	0.912	0.049	0.046	""	NADH dehydrogenase (ubiquinone) Fe-S protein 1 [Source:VB Community Annotation]
AGAP006707	0.004	0.001	0.248	0.604	0	0	0.89	0	0	0.01	0.358	0.048	0.078	0.032	0.108	0	0	0	""	serine-type enodpeptidase [Source:VB Community Annotation]
AGAP008979	0.004	0.831	0.217	0.048	0.384	0.552	0.734	0.981	0.681	0.469	0.762	0.554	0.47	0.663	0.375	0.668	0.522	0.488	""	LIM homeobox protein 2/9 [Source:VB Community Annotation]
AGAP005640	0.004	0.092	0.201	0.168	0.769	0.01	0.048	0.086	0.057	0.056	0.007	0.01	0.001	0.064	0.007	0.097	0.445	0.224	""	pre-mRNA-processing factor 6 [Source:VB Community Annotation]
AGAP008837	0.004	0.003	0	0.818	0.929	0.906	0.623	0.309	0.005	0.096	0.551	0.018	0.351	0	0.034	0.879	0.859	0.807	""	20S proteasome subunit beta 4 [Source:VB Community Annotation]
AGAP008931	0.004	0.044	0.069	0	0	0	0	0	0.017	0.013	0.881	0.018	0.507	0.255	0.754	0.035	0	0.184	""	inorganic phosphate cotransporter [Source:VB Community Annotation]
AGAP007835	0.004	0.261	0.007	0.793	0.655	0.814	0.839	0.349	0.152	0.055	0.054	0.093	0.1	0.063	0.081	0.447	0.753	0	""	""
AGAP008769	0.004	0.936	0.602	0.066	0.057	0.942	0	0.004	0	0.957	0.782	0.221	0.118	0.597	0.455	0	0.61	0.195	""	very long chain acyl-CoA dehydrogenase [Source:VB Community Annotation]
AGAP005982	0.004	0.672	0.175	0	0	0.537	0.004	0	0	0	0.204	0.012	0.573	0.029	0.925	0.031	0.595	0	""	""
AGAP012390	0.004	0.711	0	0	0	0.176	0	0	0	0.004	0	0	0	0.015	0	0	0.714	0.269	""	Mpv17-like protein [Source:VB Community Annotation]
AGAP009807	0.004	0.75	0.559	0.191	0.094	0.924	0.827	0.8	0.62	0.544	0.01	0.876	0.022	0.875	0.157	0.311	0.136	0.013	""	E2F transcription factor 4/5 [Source:VB Community Annotation]
AGAP003312	0.004	0.087	0.459	0.101	0.007	0.676	0.175	0.848	0.315	0.011	0.856	0.008	0.9	0	0.232	0.289	0.976	0.473	""	""
AGAP001104	0.004	0.412	0	0.003	0.325	0.712	0.517	0.926	0.94	0.455	0.093	0.236	0	0.025	0	0.273	0	0.006	""	chromatin assembly factor 1 subunit A [Source:VB Community Annotation]
AGAP005329	0.004	0.769	0	0.102	0.4	0.582	0.976	0.154	0.038	0.74	0.994	0.817	0.444	0.841	0.522	0.725	0.504	0.001	""	""
AGAP013143	0.004	0.866	0.002	0.609	0.122	0.892	0.989	0.996	0.941	0.092	0	0.526	0.019	0.816	0.212	0.047	0.043	0.042	""	Rho GTPase-activating protein 26 [Source:VB Community Annotation]
AGAP006665	0.004	0.373	0.966	0	0	0.494	0.037	0.481	0.448	0.824	0.792	0.777	0.758	0.967	0.971	0.385	0.586	0.831	""	""
AGAP009758	0.004	0.001	0.05	0.578	0.856	0.896	0.108	0	0	0	0	0	0.001	0	0	0.225	0.599	0	CPLCP11	cuticular protein CPLCP11 [Source:VB Community Annotation]
AGAP000240	0.004	0.914	0.724	0.242	0	0.997	0.021	0.158	0.12	0.023	0.757	0.119	0.991	0.386	0.494	0	0.252	0	""	HtrA serine peptidase 2 [Source:VB Community Annotation]
AGAP001994	0.004	0.357	0.669	0.101	0.131	0.958	0.452	0.516	0.635	0.457	0.02	0.542	0.016	0.998	0.231	0.901	0.008	0	""	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily [Source:VB Community Annotation]
AGAP001650	0.004	0.64	0.411	0.254	0.592	0.58	0.002	0.014	0	0.001	0.183	0.008	0.292	0.004	0.347	0.768	0	0.001	""	cation transport regulator-like protein 2 [Source:VB Community Annotation]
AGAP028531	0.004	0.787	0.016	0.026	0.003	0.182	0.07	0.623	0.404	0.424	0.001	0.914	0	0.873	0	0.393	0.216	0.002	""	""
AGAP011723	0.004	0.589	0.692	0.037	0.512	0.671	0.474	0.647	0.055	0.711	0.144	0.962	0.136	0.325	0.563	0.364	0.952	0	""	mannose-1-phosphate guanylyltransferase [Source:VB Community Annotation]
AGAP011565	0.004	0.993	0.905	0.34	0.099	0.912	0.877	0.21	0.779	0.788	0.627	0.147	0.492	0.547	0.94	0.088	0.134	0.875	""	Ras-related protein Rab-23 [Source:VB Community Annotation]
AGAP010223	0.004	0	0.037	0.054	0.975	0.162	0.017	0.109	0.087	0.298	0	0.971	0	0.875	0	0	0.042	0	""	""
AGAP002864	0.005	0	0.021	0.486	0	0.259	0.031	0.027	0	0.17	0.034	0.073	0.012	0.287	0.066	0.036	0	0.443	CYP6P15P	cytochrome P450 [Source:VB Community Annotation]
AGAP013772	0.005	0.86	0.004	0.649	0.271	0.507	0.813	0.489	0.403	0.133	0.956	0.218	0.932	0.469	0.639	0.352	0.731	0.152	""	""
AGAP002975	0.005	0.277	0.212	0.005	0.825	0.005	0.47	0.384	0.145	0.497	0.544	0.558	0.579	0.066	0.065	0.336	0	0.858	""	""
AGAP003814	0.005	0.023	0.641	0.191	0.723	0	0	0.003	0	0.008	0.427	0.002	0.618	0.008	0.948	0.014	0.159	0.924	""	very-long-chain (3R)-3-hydroxyacyl-(acyl-carrier protein) dehydratase [Source:VB Community Annotation]
AGAP009147	0.005	0.042	0.002	0.077	0.444	0.135	0.853	0.64	0.683	0.846	0.078	0.48	0.033	0.133	0.002	0.001	0.024	0	""	forkhead box protein G [Source:VB Community Annotation]
AGAP009536	0.005	0.003	0.609	0.84	0.2	0.769	0.145	0.008	0.02	0.984	0.132	0.482	0.008	0.853	0.146	0.454	0.005	0.046	""	KIF1-binding protein homolog [Source:VB Community Annotation]
AGAP001879	0.005	0.265	0.015	0.82	0.37	0.983	0.447	0.82	0.538	0.623	0.45	0.186	0.001	0.873	0.592	0.67	0.001	0	""	pre-mRNA-splicing factor CLF1 [Source:VB Community Annotation]
AGAP013181	0.005	0	0	0.112	0.011	0.917	0.532	0.375	0.48	0.861	0.006	0.879	0.071	0.809	0.034	0.012	0.332	0	""	carboxypeptidase A [Source:VB Community Annotation]
AGAP006943	0.005	0.442	0.995	0.37	0.045	0.846	0.218	0.584	0.52	0.002	0	0.097	0.01	0.024	0.004	0.21	0.335	0.001	""	acetyl-coenzyme A transporter [Source:VB Community Annotation]
AGAP002166	0.005	0.856	0.001	0.001	0.038	0.337	0.674	0.994	0.652	0.875	0.776	0.713	0.552	0.268	0.213	0.003	0.057	0.2	""	A-kinase anchor protein 1, mitochondrial [Source:VB Community Annotation]
AGAP012995	0.005	0.016	0.12	0	0	0.293	0.81	0.404	0.314	0.856	0.028	0.499	0.001	0.568	0.032	0	0.001	0	""	""
AGAP009708	0.005	0.127	0	0.121	0.297	0.003	0	0	0	0.002	0	0.439	0	0.257	0	0	0	0	""	""
AGAP000820	0.005	0	0.83	0	0	0.545	0.268	0	0	0.029	0.027	0	0			0.434	0	0	CPR125	cuticular protein RR-2 family 125 [Source:VB Community Annotation]
AGAP008694	0.005	0.167	0.011	0.885	0.78	0.702	0.415	0.076	0.016	0.245	0.083	0.922	0.612	0.076	0.02	0.061	0.19	0.013	""	""
AGAP008100	0.005	0.401	0.437	0.422	0.27	0.246	0.605	0.075	0.161	0.15	0.067	0.462	0.213	0.127	0.057	0.454	0.651	0.007	""	Spire [Source:VB Community Annotation]
AGAP000824	0.005	0.391	0.002	0	0.552	0.229	0.643	0	0.001	0.147	0	0.974	0	0.203	0.001	0.001	0.08	0.023	""	bone morphogenetic protein 5 [Source:VB Community Annotation]
AGAP007624	0.005	0.657	0.05	0.008	0.383	0.644	0.457	0.682	0.741	0.163	0.548	0.55	0.978	0.613	0.99	0.115	0.035	0.966	""	""
AGAP005929	0.005	0.033	0.001	0.276	0.064	0.609	0.951	0.372	0.743	0	0.019	0	0	0	0.018	0.002	0.001	0.266	""	pyridoxine kinase [Source:VB Community Annotation]
AGAP011113	0.005	0.032	0.388	0.179	0	0.956	0.03	0.009	0.045	0.685	0.309	0.452	0.439	0.838	0.087	0.718	0.462	0	""	potassium voltage-gated channel KQT-like subfamily member 1 [Source:VB Community Annotation]
AGAP004919	0.005	0.89	0.002	0.753	0.13	0.791	0	0.945	0.788	0.131	0.767	0.028	0.33	0.119	0.621	0.587	0.822	0.159	RpL15	60S ribosomal protein L15 [Source:UniProtKB/Swiss-Prot;Acc:P52818]
AGAP007945	0.005	0.181	0.512	0	0.001	0.198	0.371	0.056	0.225	0.001	0.756	0.009	0.607	0.975	0.008	0.066	0.421	0	""	amiloride-sensitive sodium channel, other [Source:VB Community Annotation]
AGAP003599	0.005	0.011	0	0.704	0.267	0.108	0.281	0.596	0.093	0.024	0	0.028	0	0.07	0	0.671	0.002	0	""	F-type H+-transporting ATPase oligomycin sensitivity conferral protein [Source:VB Community Annotation]
AGAP006627	0.005	0.779	0	0.548	0.053	0.762	0.001	0	0	0.717	0.09	0.085	0.001	0.101	0.008	0.708	0.302	0	""	Islet cell autoantigen 1 [Source:VB Community Annotation]
AGAP001945	0.005	0.833	0.213	0.841	0.986	0.252	0	0	0.002	0.032	0.562	0.011	0.896	0.077	0.341	0.604	0.222	0	""	Uncharacterized protein CG12001 [Source:VB Community Annotation]
AGAP011114	0.005	0.07	0.869	0.884	0.011	0.895	0.605	0.257	0.481	0.001	0.593	0	0.093	0.017	0.645	0.278	0.842	0	""	mRNA-decapping enzyme subunit 2 [Source:VB Community Annotation]
AGAP001414	0.005	0.32	0.385	0	0.037	0.368	0.008	0.076	0.207	0.453	0.966	0.963	0.172	0.58	0.787	0.003	0.349	0.215	""	WD40 repeat-containing protein SMU1 [Source:VB Community Annotation]
AGAP006814	0.005	0.556	0.956	0.978	0.948	0.944	0.728	0.517	0.201	0.001	0.363	0.007	0.608	0.003	0.424	0.026	0.222	0.043	""	""
AGAP007522	0.005	0.457	0.272	0.001	0.002	0.582	0.025	0.345	0.277	0.198	0.163	0.028	0.018	0.852	0.769	0.002	0.028	0.055	""	Adaptor-related protein complex 3, sigma 1 subunit [Source:VB Community Annotation]
AGAP000458	0.005	0.542	0	0.01	0.263	0.08	0.003	0.568	0.87	0.423	0.678	0.631	0.889	0.593	0.329	0.28	0.001	0	""	""
AGAP000347	0.005	0.644	0	0.003	0.351	0.946	0.838	0.468	0.075	0.511	0.5	0.22	0.256	0.075	0.075	0.943	0.599	0.895	CAPA	pyrokinin capa-like [Source:VB Community Annotation]
AGAP006159	0.005	0.067	0.005	0.484	0.623	0.966	0.923	0.807	0.374	0.023	0.454	0.241	0.974	0.055	0.509	0.027	0.446	0.188	""	Ras-related protein Rab-5C [Source:VB Community Annotation]
AGAP007568	0.005	0.021	0.064	0	0	0.339	0.945	0.119	0.029	0.372	0	0.126	0	0.163	0	0.136	0.039	0	""	condensin complex subunit 3 [Source:VB Community Annotation]
AGAP005041	0.005	0.943	0.003	0.398	0.573	0.91	0.343	0.189	0.028	0.704	0.152	0.949	0.211	0.488	0.057	0	0.013	0.466	""	""
AGAP002154	0.005	0.008	0.994	0.89	0	0.892	0.942	0.488	0.027	0.011	0.001	0.001	0	0.167	0.023	0.598	0	0	""	myosin-light-chain kinase [Source:VB Community Annotation]
AGAP004077	0.005	0.132	0.174	0.799	0.937	0.189	0.237	0.485	0.416	0.559	0.434	0.332	0.214	0.658	0.538	0.375	0.033	0.087	""	""
AGAP012282	0.005	0.002	0	0.026	0.009	0.786	0	0.001	0.041	0.462	0.129	0.857	0.015	0.619	0.005	0.034	0	0	""	""
AGAP009134	0.005	0.175	0.208	0.185	0.047	0	0	0.029	0.08	0.005	0.674	0.019	0.675	0.001	0.316	0.363	0.016	0.019	""	""
AGAP007307	0.005	0.028	0	0.002	0.004	0.562	0.406	0.046	0	0.016	0	0.027	0	0.008	0	0.003	0.082	0	""	Rap guanine nucleotide exchange factor (GEF) 4 [Source:VB Community Annotation]
AGAP006270	0.005	0.053	0.311	0.011	0.001	0.416	0.247	0.454	0.495	0.011	0.194	0.029	0.384	0.039	0.322	0.602	0.982	0	""	fyn-related kinase [Source:VB Community Annotation]
AGAP009172	0.005	0	0.065	0	0.202	0.001	0	0.466	0.06	0.844	0.69	0.526	0.804	0.868	0.971	0.287	0.272	0.008	""	prolyl oligopeptidase [Source:VB Community Annotation]
AGAP007954	0.005	0.04	0.276	0.058	0	0.683	0.935	0.633	0.704	0.002	0.607	0.003	0.659	0.003	0.356	0.161	0.114	0.053	""	RING finger protein 10 [Source:VB Community Annotation]
AGAP008353	0.005	0.525	0.095	0	0	0.136	0.01	0.271	0.676	0.192	0.075	0.41	0.122	0.157	0.056	0.826	0.35	0	""	Scat [Source:UniProtKB/TrEMBL;Acc:A0A1S4GYQ4]
AGAP002186	0.005	0.081	0.598	0	0.712	0.132	0.011	0	0	0.066	0.031	0.002	0	0.003	0.001	0.961	0.989	0.001	""	very low-density lipoprotein receptor [Source:VB Community Annotation]
AGAP002666	0.005	0.876	0.072	0.949	0.184	0.154	0.413	0.13	0.164	0.765	0.005	0.184	0	0.53	0.003	0.013	0.031	0	""	dolichyldiphosphatase [Source:VB Community Annotation]
AGAP028141	0.005	0.81	0	0	0.124	0.01	0.014	0.134	0.035	0.892	0.037	0.202	0	0.464	0.142	0.006	0	0.02	""	""
AGAP002406	0.005	0.492	0.476	0.302	0.255	0.76	0.36	0.382	0.129	0.002	0.048	0	0.017	0	0.081	0.021	0.625	0	""	COMM domain-containing protein 2 [Source:VB Community Annotation]
AGAP010596	0.005	0	0	0	0	0	0.01	0	0.008							0.019	0.632	0.861	""	Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:Q7Q8R8]
AGAP003315	0.005	0.469	0.516	0.96	0.237	0	0	0	0	0.108	0.928	0.007	0.131	0.26	0.432	0.503	0.03	0.006	""	tryptophanyl-tRNA synthetase [Source:VB Community Annotation]
AGAP002308	0.005	0.091	0.966	0	0.168	0.592	0.28	0.925	0.977	0.985	0.219	0.41	0.005	0.958	0.258	0.726	0.794	0.001	""	Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL;Acc:Q7QBU0]
AGAP012417	0.005	0.056	0.001	0.012	0.43	0.944	0.421	0.454	0.772	0.029	0.84	0.5	0.228	0.082	0.562	0.099	0.003	0.001	Exo1	exocyst complex component 1 [Source:VB Community Annotation]
AGAP004391	0.005	0.104	0	0.002	0.044	0.001	0.644	0.255	0.461	0.023	0	0.001	0	0.062	0	0	0	0	""	N-acylneuraminate-9-phosphatase [Source:VB Community Annotation]
AGAP008709	0.005	0.25	0.016	0.092	0.214	0.677	0.228	0.088	0.762	0.185	0.148	0.035	0.517	0.414	0.048	0.021	0.717	0.575	""	""
AGAP009694	0.005	0.017	0	0.11	0	0.471	0.224	0.366	0.795	0.823	0.046	0.352	0	0.183	0	0	0.001	0	""	T-complex protein 1 subunit beta [Source:VB Community Annotation]
AGAP008088	0.005	0.301	0.436	0.884	0.445	0.924	0.175	0.712	0.282	0.645	0.065	0.648	0.036	0.854	0.118	0.225	0.741	0.129	""	ribonuclease HI [Source:VB Community Annotation]
AGAP013743	0.005	0.924	0.119	0.136	0.172	0.895	0.73	0.966	0.655	0.571	0.497	0.342	0.831	0.471	0.586	0.982	0.707	0.638	""	""
AGAP001190	0.005	0	0.765	0	0	0	0.526	0.02	0.011	0	0	0	0.032	0	0	0	0	0	""	female reproductive tract protease GLEANR_896 [Source:VB Community Annotation]
AGAP003297	0.005	0.183	0.001	0	0.002	0.308	0	0	0	0.23	0.001	0.948	0.001	0.87	0.002	0	0	0	""	""
AGAP012185	0.005	0.178	0	0.003	0.119	0.886	0.064	0.105	0.534	0	0.902	0	0.902	0	0.772	0.354	0.488	0.013	""	erythrocyte membrane protein band 4.1 [Source:VB Community Annotation]
AGAP011767	0.005	0.003	0.435	0.034	0.887	0.535	0.26	0.554	0.925	0.226	0.377	0.111	0.405	0.512	0.058	0.45	0.99	0	""	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [Source:VB Community Annotation]
AGAP007832	0.005	0.13	0	0.003	0.086	0.501	0.001	0.009	0	0.123	0	0.07	0	0.012	0	0.016	0.059	0	""	PRKCA-binding protein [Source:VB Community Annotation]
AGAP013126	0.005	0.126	0	0.053	0.161	0.999	0.627	0.318	0.11	0.454	0.341	1	0.782	0.408	0.327	0.399	0.38	0.006	""	Frequenin-1 [Source:VB Community Annotation]
AGAP001487	0.005	0.001	0.062	0.389	0.1	0.788	0.333	0.067	0	0.164	0.069	0.015	0.004	0.717	0.519	0	0	0	shakB	Innexin shaking-B [Source:UniProtKB/Swiss-Prot;Acc:Q7PXN1]
AGAP006776	0.005	0	0.657	0.052	0.007	0.313	0.021	0.896	0.949	0.011	0.004	0.004	0.001	0	0	0.451	0.968	0.064	""	""
AGAP006521	0.005	0	0.616	0	0.006	0.049	0.894	0.342	0.062	0.723	0.021	0.695	0.01	0.26	0.104	0.005	0	0	""	adenylate cyclase-stimulating G alpha protein [Source:VB Community Annotation]
AGAP011459	0.005	0.857	0	0	0.939	0.83	0.691	0	0	0.573	0.051	0.797	0	0.384	0.054	0.003	0.005	0	""	""
AGAP002531	0.006	0.11	0.045	0.132	0.251	0.288	0.48	0.517	0.7	0.782	0.042	0.447	0.058	0.332	0.096	0.943	0.06	0.082	""	taspase, threonine aspartase 1 [Source:VB Community Annotation]
AGAP006773	0.006	0.494	0.281	0	0.046	0.734	0.14	0.375	0.947	0.022	0.813	0.036	0.817	0.049	0.52	0.361	0.871	0.71	""	Phospholipid scramblase [Source:UniProtKB/TrEMBL;Acc:Q7PSZ6]
AGAP010564	0.006	0.011	0.09	0.259	0.746	0.681	0.585	0.144	0.397	0.13	0	0.949	0	0.711	0	0.001	0.066	0.692	""	pur-alpha [Source:VB Community Annotation]
AGAP002035	0.006	0.382	0	0.588	0.172	0.089	0.177	0.011	0.009	0.227	0.01	0.003	0	0.042	0.001	0.039	0	0.013	""	GC-rich sequence DNA-binding factor [Source:VB Community Annotation]
AGAP001501	0.006	0.057	0.021	0	0	0.057	0.009	0.005	0	0.138	0.266	0.072	0.13	0.927	0.472	0.018	0.005	0	""	Regucalcin protein [Source:VB Community Annotation]
AGAP001558	0.006	0.988	0.001	0.015	0.208	0.493	0.708	0	0.007	0.202	0.864	0.036	0.47	0.037	0.226	0	0.674	0	GPRGNR2	putative gonadotrophin releasing hormone receptor 2 [Source:VB Community Annotation]
AGAP011652	0.006	0.069	0.033	0.001	0.005	0.659	0.738	0.245	0.251	0.526	0.014	0.618	0.018	0.465	0.008	0.018	0.001	0	""	AAA family ATPase, CDC48 subfamily protein [Source:VB Community Annotation]
AGAP010799	0.006	0.032	0.583	0	0.088	0.989	0.369	0.008	0.003	0.124	0.5	0.251	0.669	0.151	0.46	0.931	0.304	0.471	""	""
AGAP008737	0.006	0.133	0.193	0.756	0.209	0.503	0.001	0.005	0.135	0.866	0	0.863	0.001	0.672	0.053	0.668	0.99	0	""	cytohesin-1 [Source:VB Community Annotation]
AGAP002702	0.006	0.135	0.041	0	0.012	0.859	0.873	0.858	0.272	0.258	0.971	0.962	0.134	0.607	0.714	0.512	0.828	0.454	""	""
AGAP000927	0.006	0.008	0.978	0	0	0.882	0.285	0.661	0.856	0.95	0.581	0.631	0.317	0.202	0.074	0.662	0.157	0.017	""	myosin regulatory light chain, invertebrate [Source:VB Community Annotation]
AGAP008874	0.006	0	0.255	0.019	0.01	0.032	0.005	0.547	0.511	0.427	0	0.993	0.036	0.5	0.004	0.213	0	0.041	""	""
AGAP001023	0.006	0.15	0	0	0	0.072	0.047	0.087	0.066	0.054	0.005	0.263	0.038	0.533	0.114	0	0.77	0.003	""	myofilin variant B [Source:VB Community Annotation]
AGAP002107	0.006	0.014	0.009	0	0	0.227	0.017	0.469	0.904	0.016	0.001	0.029	0	0.002	0.04	0	0	0.025	""	calcyclin binding protein [Source:VB Community Annotation]
AGAP009867	0.006	0.84	0	0	0	0.026	0.03	0.913	0.586	0.003	0.002	0.007	0.003	0.007	0.003	0.071	0.003	0.001	""	AFG1-family ATPase [Source:VB Community Annotation]
AGAP004434	0.006	0.798	0	0.003	0.099	0.877	0.44	0.529	0.67	0.081	0.127	0.002	0.005	0.116	0.178	0.601	0.406	0.039	Pcaf	histone acetyltransferase [Source:VB Community Annotation]
AGAP003399	0.006	0.002		0.392	0.348		0.341	0.005	0.031		0.279	0	0.74	0	0.232	0.779	0	0	""	""
AGAP008704	0.006	0.001	0.013	0.031	0.005	0	0.05	0.223	0	0	0.262	0	0.684	0	0.613	0.045	0	0.003	""	juvenile hormone-inducible protein [Source:VB Community Annotation]
AGAP011706	0.006	0.124	0	0.163	0.02	0.398	0.052	0.971	0.48	0.407	0.927	0.365	0.894	0.728	0.544	0.133	0.753	0.033	RpL27a	60S ribosomal protein L27a [Source:VB Community Annotation]
AGAP001132	0.006	0.985	0.121	0.035	0.59	0.157	0.291	0.839	0.483	0.446	0.005	0.252	0.01	0.597	0.002	0.931	0.045	0	""	""
AGAP004156	0.006	0.016	0.487	0.518	0.664	0	0.358	0	0	0	0	0	0	0.001	0	0.041	0.039	0.798	""	synaptic vesicle protein [Source:VB Community Annotation]
AGAP003193	0.006	0.863	0.016	0.376	0.023	0.956	0.159	0.726	0.822	0.375	0.014	0.41	0.01	0.835	0.114	0.818	0	0	""	GPN-loop GTPase [Source:VB Community Annotation]
AGAP010017	0.006	0.297	0.864	0.613	0.032	0.786	0.691	0.326	0.109	0.589	0.135	0.402	0.154	0.016	0.854	0.038	0.066	0	""	TNF receptor-associated factor 4 [Source:VB Community Annotation]
AGAP010789	0.006	0.097	0.001	0	0.996	0.046	0.133	0.002	0.031	0.716	0	0.738	0	0.719	0	0.006	0	0	""	""
AGAP007062	0.006	0.295	0.886	0.066	0.001	0.06	0.015	0.094	0.02	0.001	0.13	0.001	0.028	0.001	0.123	0.432	0.446	0	ETH	ecdysis-triggering hormone [Source:VB Community Annotation]
AGAP007367	0.006	0.968	0	0	0	0.073	0.505	0.489	0.413	0.151	0.045	0.701	0.203	0.282	0.092	0	0	0	""	solute carrier family 6 (neurotransmitter transporter, dopamine) member 3 [Source:VB Community Annotation]
AGAP012037	0.006	0.001	0.061	0.01	0.918	0.154	0.355	0	0	0.259	0.968	0.267	0.889	0.021	0.185	0.456	0.011	0	CLIPB20	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP007916	0.006	0.924								0.431	0.025	0.743	0.096	0.006	0	0.834	0.92	0.88	""	""
AGAP000045	0.006	0.866	0	0	0	0.879	0.979	0.012	0.001	0.998	0.001	0.769	0	0.744	0	0.005	0.033	0	GPROAR1	putative octopamine receptor 1 [Source:VB Community Annotation]
AGAP004585	0.006	0.26	0	0	0.118	0.861	0.537	0.709	0.793	0.937	0.29	0.068	0	0.07	0.001	0.938	0.002	0	""	Translin-associated factor X [Source:VB Community Annotation]
AGAP001720	0.006	0.464	0.055	0.417	0.498	0.59	0.274	0.375	0.948	0.04	0.142	0.012	0.073	0.017	0.095	0.732	0.001	0.777	""	RrnaAD, ribosomal RNA adenine dimethylase [Source:VB Community Annotation]
AGAP007098	0.006	0.985	0.013	0.193	0.422	0.672	0.81	0.372	0.082	0.459	0.908	0.779	0.458	0.37	0.968	0.197	0.039	0.516	""	""
AGAP006261	0.006	0.105		0.811	0.727	0.372	0.89	0.739	0.742	0.08	0.03	0.076	0.024	0.166	0.072	0.431	0.599	0	CPR135	cuticular protein RR-2 family 135 [Source:VB Community Annotation]
AGAP008111	0.006	0.604	0.249	0.417	0.067	0.858	0.972	0.887	0.426	0.499	0.033	0.953	0	0.64	0.007	0.135	0.252	0	""	methyltransferase-like protein 14 [Source:VB Community Annotation]
