GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Bouake_gamb_exp_v_Bouake_Ki_log2FoldChange	Bouake_gamb_unexp_v_Bouake_Ki_log2FoldChange	Bouake_col_exp_v_Bouake_Ng_log2FoldChange	Bouake_col_unexp_v_Bouake_Ng_log2FoldChange	ContTia_v_CDI_Ng_log2FoldChange	DeltTia_v_CDI_Ng_log2FoldChange	MalaTia_v_CDI_Ng_log2FoldChange	PiriTia_v_CDI_Ng_log2FoldChange	BusiaParental_v_Kisumu_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP003303	-1.04	-0.01	-0.69	0.48	-0.36	-0.82	-0.43	0.56	0.66	0.72	0.33	-1.29	0.2	-1.43	0.09	-1.55	0.1	0.73	0.13	0.21	0.35	-1.01	-0.56	-0.85	0.69	-0.99	-0.44	-1.2	-1.31	-1.63	-1.59	-1.6	-1.25	0.07	0.96	""	""
AGAP010892	1.84	-0.43	1.68	0.89	-0.4	-0.55	0.5	0.84	0.69	1.64	-0.62	-0.83	-0.54	-0.76	-0.43	-0.64	0.19	0.06	0.4	0.46	0.41	-0.87	-1.82	-0.6	-1.13	0.23	0.61	0.01	-0.62	-1.45	-1.94	-2.85	-2.52	-0.57	-0.98	""	Synaptic vesicle glycoprotein 2B [Source:VB Community Annotation]
AGAP000877	1.56	-0.25	0.42	-0.75	-1.71	-0.33	-0.89	-1.71	-1.83	-1.56			-0.71	-0.67			0.24	0.74	0.4	0.21	0.5	-0.73	-0.52	-1.09	-0.84	-0.89	-0.98	-1.04	-1.81	-3.9	-2.86	-3.72	-3.68	-2.19	-2.07	CYP4G17	cytochrome P450 [Source:VB Community Annotation]
AGAP004731	1.21	-0.55	0.75	1.09	-0.37	0.04	0.66	0.56	-0.09	0.07	0.78	0.93	0.3	0.44	0.68	0.82	-0.41	-0.48	-0.44	-0.54	-0.42	-0.23	-0.23	-0.39	-0.25	0.79	0.58	1.58	0.32	-0.32	-0.2	0.43	0.58	-0.47	-0.7	""	secretory phospholipase A2 [Source:VB Community Annotation]
AGAP012106	-0.45	0.2	-0.44	-0.63	0.51	0.01	0.43	-1.39	-0.83	-1.08	-0.48	-2.13	-0.06	-1.71	0.07	-1.58	0.45	0.47	0.49	0.84	0.92	-0.49	-0.33	-0.71	-1.91	-0.12	0.25	-0.16	-0.44	-2.43	-1.24	-2.05	-2.44	0.29	0.76	""	F-type H+-transporting ATPase subunit beta [Source:VB Community Annotation]
AGAP001617	0.47	-0.48	0.72	0.13	-0.39	-0.31	0.33	-0.26	-0.42	-0.29	0.1	-0.71	0.24	-0.58	0.16	-0.66	-0.03	0	0.32	0.1	0.27	-0.85	-0.97	-0.92	-0.52	-0.04	0.52	0.42	0.21	-0.71	0.15	-1.06	-0.71	-0.5	-0.69	""	Ras-related protein Rab-7A [Source:VB Community Annotation]
AGAP006363	-0.97	-0.36	-0.44	1.32	-0.36	-0.04	0.22	1.09	1.23	1.06	-0.75	-0.75	-0.95	-0.97	-1.23	-1.24	0.07	0.41	0.2	0.04	0.33	0.2	-0.04	0.21	-0.12	-0.65	-0.62	-0.22	-0.03	-0.52	-0.95	-0.51	-0.43	-0.35	0.78	""	vitamin K-dependent gamma-carboxylase [Source:VB Community Annotation]
AGAP028622	1.86	-0.3	0.19	-0.57	0.81	0.61	0.74	0.25	1.33	1.48	0.59	2.2	0.52	2.12	1.3	2.92	0.01	0.27	-0.03	-0.04	0.21	-1.03	-1.27	-1.16	1.8	0.99	1.15	1.37	1.73	3.59	4.44	4.47	3.89	-0.3	-0.83	""	""
AGAP000692	-0.81	0.75	-0.85	-0.22	0.17	0.8	0.34	1.01	0.09	0.13	-0.43	-0.63	-0.8	-1.01	-0.4	-0.61	0.29	-0.04	-0.07	-0.19	-0.06	-0.52	-0.95	-0.62	0.36	0.14	-0.74	-1.03	-0.42	-0.81	0.35	-0.61	-0.74	1.58	1.08	CEC2	cecropin anti-microbial peptide [Source:VB Community Annotation]
AGAP003499	-1.83	-1.02	-1	-0.21	-0.36	-1.02	-1.64	-1.23	-1.64	-2.7	1.46	2.4	0.38	1.31	1.58	2.52	-0.58	-0.39	-1.18	-1.1	-1.2	0.01	1.25	0.23	-0.36	-2.04	-1.33	-1	-2.15	-1.46	-1.77	-1.96	-2.3	-1.62	-1.75	""	""
AGAP002006	-1.22	-0.24	-0.15	1.51	-0.81	-0.7	-0.5	0.01	0.31	0.7	0.42	-0.16	0.14	-0.45	0.18	-0.42	0.43	0.32	0.27	0.37	0.26	1.64	1.28	1.31	0.43	-0.35	-0.41	0.08	0.1	0.06	-1.15	-0.42	-0.03	-0.64	0.43	""	reticulon/nogo receptor [Source:VB Community Annotation]
AGAP008575	-1.09	-0.91	0.17	0.88	0.28	0.76	0.08	0.44	0.25	0.4	-0.71	-0.38	-0.96	-0.64	-0.91	-0.58	0.47	0.36	0.26	0.49	0.44	0.45	0.66	0.49	-0.71	-0.2	0.07	-0.09	0.22	0.34	-0.57	-0.02	0.12	0.22	0.66	""	ubiquitin-conjugating enzyme E2 Q [Source:VB Community Annotation]
AGAP012952	0.92	0.61	-0.14	-0.91	0.2	0.41	0.95	0.34	1.4	1.11	0.21	0.42	0.56	0.75	0.85	1.05	-0.13	-0.33	-0.24	-0.23	-0.24	-1.04	-0.74	-0.85	0.97	0.13	0.47	0.1	0.45	1.22	2.09	1.88	1.61	0.74	0.63	""	""
AGAP011859	0.71	0.68	0.12	0.42	0.61	-0.23	0.02	0.26	0.1	0.2	0.49	-0.05	0.44	-0.11	0.25	-0.3	-0.04	0.08	-0.21	-0.04	-0.03	0.32	0.21	0.09	0.54	-0.59	-0.61	-0.73	-0.88	-0.89	-0.86	-0.4	-0.72	0.02	0.34	""	Beta-glucuronidase [Source:UniProtKB/TrEMBL;Acc:Q7PZE2]
AGAP006598	0.74	0.08	-0.1	0.05	-0.19	-0.56	-0.24	0.19	-0.13	0.05	0.23	-1.02	0.19	-1.05	0.37	-0.88	0.44	0.37	0.56	0.63	0.44	0.11	-0.23	-0.26	-0.4	-0.83	-0.47	-1.06	-1.24	-1.33	-1.36	-1.41	-1.42	0.31	0.63	""	""
AGAP008747	0.45	0.1	0.38	-0.11	0.82	0.58	0.02	-0.2	-0.23	-0.14	-0.25	0.53	-0.2	0.56	-0.03	0.74	-1.2	-0.33	-0.76	-0.35	-0.92	0.73	0.45	1.04	-0.36	0.25	0.13	0.07	0.17	0.8	1.21	0.43	0.74	-0.28	-0.44	""	""
AGAP003793	0.96	0.12	0.56	-0.12	-0.12	0.17	-0.21	-0.13	-0.12	-0.16	-0.04	0.46	0.04	0.53	-0.02	0.48	-0.51	-1	-0.31	-0.47	-0.54	0.48	0.11	0.52	0.25	0.21	-0.01	0.5	0.59	0.59	0.82	0.53	0.81	-0.49	-0.76	""	""
AGAP002723	-0.88	0.43	-0.55	1.12	-0.46	-0.18	-0.02	0.75	0.63	1.09	-0.38	-0.51	-0.39	-0.54	-0.94	-1.08	0.3	0.67	0.4	0.37	0.28	1.25	1.11	1.31	0.45	-0.72	-0.71	-0.28	-0.28	-0.76	-0.91	-0.49	-0.6	0.04	1.3	""	""
AGAP008442	-0.82	0.1	0.22	1.32	-0.02	0.54	-0.15	0.07	0.25	0.63	-4.23	-0.46	-4.07	-0.3	-4.33	-0.56	0.37	0.62	0.83	0.65	0.6	0.68	1.1	0.76	0.68	-0.43	-0.06	-0.76	-0.4	-1.07	-1.66	-1.3	-1.17	-0.19	0.42	""	""
AGAP001438	-0.43	0.07	0.06	0.35	-0.22	0.01	-0.53	0.02	0.37	0.32	-0.08	-0.1	-0.17	-0.2	-0.02	-0.04	-0.38	-1.17	-0.31	-0.24	-0.06	0.07	0.12	0.3	0.23	-0.09	0.19	-0.25	-0.28	0.62	0.18	0.29	0.41	-0.15	0.05	""	""
AGAP008873	0.41	-0.59	0.6	-0.21	-0.19	-0.48	-0.65	-1	-1.1	-0.63	0.21	-0.09	0.49	0.18	0.54	0.25	0.85	1.09	1.12	1.09	0.88	0.62	0.15	0.42	-0.09	-0.14	-0.16	0.08	-0.63	-0.29	-0.28	-0.89	-0.54	-0.56	-0.92	""	""
AGAP010140	-0.96	1.19	-0.29	-0.24	0.35	-1.34	-0.92	-0.82	-0.9	-1.22	-0.18	-0.34	-0.24	-0.4	-0.31	-0.47	0.77	-1	0.1	-0.11	0.29	0.1	0.44	-0.08	0.11	2.08	0.8	-1.73	-1.57	-2.05	-1.95	-1.87	-2.16	-2.25	-2.75	""	hydrolases of HD superfamily [Source:VB Community Annotation]
AGAP002787	-1	0.23	-0.3	1.25	-0.33	-0.01	0.15	0.83	1.1	1.03	-0.3	-0.54	-0.37	-0.62	-0.85	-1.1	0.7	0.49	0.67	0.57	0.6	0.77	1.05	0.75	-0.15	-0.59	-0.54	-0.62	-0.33	-0.25	-0.96	-0.36	-0.45	-0.11	1.19	""	""
AGAP000734	-1.37	-0.1	-0.38	0.68	-0.19	-0.32	-1.13	-0.5	-0.49	-0.11	0.4	-0.52	0.17	-0.76	0.18	-0.74	-0.86	-1.57	-1.62	-1.92	-0.88	-0.2	0.01	0.11	-0.58	-0.8	-0.44	-1.05	-0.79	0.18	-1.29	-0.38	-0.04	-1.16	-0.26	""	""
AGAP005960	0.33	0.07	0.18	-0.15	0.17	0.19	-0.04	0.17	0.03	-0.11	-0.14	0.08	-0.18	0.03	-0.06	0.16	-0.39	-0.35	-0.3	-0.14	-0.34	0.26	0.15	0.3	0.37	-0.05	-0.07	-0.05	-0.1	0.31	0.62	0.28	0.35	-0.27	-0.29	RpL7a	60S ribosomal protein L7a [Source:UniProtKB/Swiss-Prot;Acc:O76732]
AGAP009636	-1.15	-0.67	-0.67	0.64	-0.49	0.03	-0.72	-0.04	0.06	-0.1	-0.66	-0.83	-0.69	-0.86	-0.59	-0.76	0.44	0.54	0.13	0.51	0.21	-0.17	-0.27	0.17	-0.28	-0.89	-0.68	-0.01	-0.75	-1	-1.22	-0.67	-0.66	0.71	0.82	""	""
AGAP003165	-0.58	-0.29	0.15	-0.06	-0.46	-0.58	-0.06	0.04	-0.65	-0.85	-0.1	-0.83	-0.16	-0.89	-0.11	-0.85	0.58	0.6	0.52	0.6	0.61	-0.31	0.2	-0.11	-0.63	-0.38	-0.29	-0.33	-0.58	-1.47	-0.87	-1	-1.31	-1.13	-0.7	""	Succinate-semialdehyde dehydrogenase I [Source:VB Community Annotation]
AGAP005645	1.57	0.93	-1	0.31	-3.38	-4	0.27	1.01	2.31	1.36	-1.49	-2.68	-1.37	-2.56	-1.37	-2.56	0.9	-0.53	-0.32	-0.56	0.03	-3.23	-3.47	-3.33	-0.16	-2.46	-1.09	-2.26	-2.81	-3.94	-3.27	-4.28	-4.31	1.36	1.7	""	dehydrogenase/reductase SDR family member 11 precursor [Source:VB Community Annotation]
AGAP002039	-0.84	0.2	-0.43	1.2	0.26	0.16	0.09	0.92	0.7	1.18	-0.39	-0.9	-0.61	-1.13	-1.1	-1.63	0.43	0.44	0.47	0.39	0.58	1.17	0.86	1.32	0.26	-0.47	-0.88	-0.19	-0.37	-0.28	-0.77	-0.17	-0.15	-0.38	1.02	""	""
AGAP001549	0.48	0.08	0.25	-0.03	-0.23	-0.03	0.21	0.21	0.1	0.3	-0.55	-0.05	-0.4	0.09	-0.43	0.06	-0.2	-0.35	-0.09	-0.06	-0.25	-0.08	-0.24	0.13	-0.39	0.04	0.1	0.26	0.19	0.4	0.68	0.15	0.39	-0.26	-0.41	""	""
AGAP009194	-1.84	-0.29	-1.95	-0.08	0.94	-2.58	-3.88	-2.99	-2.77	-3.17	-2.45	0.14	-2.86	-0.27	-2.08	0.51	-1.56	-0.57	-2.34	-1.3	-1.58	-2.07	-0.79	-3.04	-1.27	0.34	-0.32	-0.75	-0.23	-1.77	-1.37	-1.19	-1.37	0.73	2.17	GSTE2	glutathione S-transferase epsilon class 2 [Source:VB Community Annotation]
AGAP009783	-0.55	0.04	0.09	-0.31	-0.26	-0.17	-0.03	-0.89	-0.85	-0.54	-1.19	0.44	-0.83	0.79	-0.83	0.79	-0.57	-1.14	-0.66	-0.61	-0.71	0.18	-0.01	0.59	-0.29	0.8	0.8	0.03	0.54	0.45	0.72	0.47	0.63	-0.17	-0.14	""	short/branched chain acyl-CoA dehydrogenase [Source:VB Community Annotation]
AGAP008020	1.47	-1.85	-0.25	0.07	-1.98	-1.64	-0.04	0.38	1.04	0.26							0.95	0.84	0.21	0.19	0.89	-0.57	-0.49	-0.75	-0.78	-1.35	-1.31	0.79	0.56	-0.95	-0.76	-0.73	-0.89	0.3	0.15	CYP12F2	cytochrome P450 [Source:VB Community Annotation]
AGAP000017	-0.42	-0.28	-0.01	0.27	0.16	0	-0.35	-0.62	-0.13	0.02	1.39	1.06	1.13	0.79	1.63	1.3	-0.15	-0.09	-0.3	-0.11	-0.45	0.56	0.61	0.56	0.34	-0.42	0.06	-0.13	-0.27	-0.27	-0.59	-0.39	-0.29	0.09	-0.05	""	""
AGAP008284	0.78	-0.89	-1.12	0.07	-1.34	-0.53	1.38	0.72	1.25	1.54	-2.39	-0.96	-2.64	-1.22	-2.77	-1.34	-1.16	-0.26	-0.94	-0.21	-0.04	0.05	0.29	-0.27	0.66	-1.53	-2.35	-0.92	-0.33	-1.75	-0.56	-1.1	-1.48	0.9	0.75	D7r1	D7 short form salivary protein [Source:VB Community Annotation]
AGAP000749	-0.42	-0.06	-0.85	0.38	-0.29	-0.09	0.19	0.1	0.23	0.05	-0.49	-0.62	-0.71	-0.85	-0.67	-0.8	1.01	0.66	1	0.84	1.31	-0.06	-0.12	-0.16	-0.17	-0.18	-0.39	-0.31	-0.04	-0.6	-0.6	-0.4	-0.67	0.49	1.25	""	Muscular protein 20 [Source:VB Community Annotation]
AGAP011551	0.43	-0.45	0.21	0.02	-0.05	-0.02	-0.21	-0.46	-0.33	-0.31	0.13	0.3	-0.14	0.02	0.12	0.28	-0.03	0.04	-0.11	0.13	-0.21	-0.21	-0.15	-0.11	0.05	-0.1	0.09	0.1	0.03	0.28	0.45	-0.05	0.36	-0.37	-0.44	""	protein transport protein SEC31 [Source:VB Community Annotation]
AGAP011724	-0.69	0.17	-0.32	0.43	-0.3	-0.03	-0.4	-0.15	0.19	0.43	1.34	0.47	1.14	0.25	1.19	0.31	0.3	0.1	0.15	0.14	0.06	0.35	0.12	-0.63	0.98	-0.38	-0.34	0	0.3	-0.06	-0.83	-0.33	-0.06	-0.2	0.1	""	""
AGAP004773	1.78	-1.03	0.72	0.31	1.02	1.34	0.52	-0.23	-0.22	-0.51							0.03	0.09	0.28	0.21	0.32	0.13	-0.06	-0.22	-0.59	2.8	2.46	2.2	1.28	1.7	2.17	2.02	2.49	-0.5	0.05	""	pyruvate dehydrogenase E1 component subunit alpha, mitochondrial [Source:VB Community Annotation]
AGAP009227	-1.48	0.32	-0.43	1.38	-0.38	-0.06	-0.14	0.76	0.79	0.61	-0.18	-0.44	-0.67	-0.94	-0.93	-1.2	-2.15	-2.52	-1.94	-2.14	-1.82	1.17	0.87	0.85	0.14	-0.66	-0.5	-0.65	-0.42	-0.7	-1.6	-0.77	-0.31	-0.19	1.22	""	""
AGAP007852	0.57	-0.28	0.5	-0.96	-0.22	-0.61	0.62	-0.56	-1.28	-1.16	-0.18	-0.54	0.08	-0.28	0.19	-0.17	0.09	0.06	0.44	0.47	0.51	-0.13	-0.5	-0.46	-1.64	-0.46	0.09	0.34	-0.54	-3.04	-1.61	-2.68	-3.08	-0.51	-1.35	""	aconitate hydratase 1 / homoaconitase [Source:VB Community Annotation]
AGAP003023	-0.45	-0.3	-0.24	0.55	-0.39	-0.39	-0.01	0.09	0.33	0.45	0.41	-0.3	0.4	-0.31	0.31	-0.41	0.25	0.27	0.47	0.35	0.52	0.25	0.2	0.55	-0.14	-0.42	-0.16	-0.07	-0.17	-0.39	-0.48	-0.5	-0.2	0.02	0.4	""	syntaxin-binding protein 1 [Source:VB Community Annotation]
AGAP000425	-0.64	-0.39	0.07	0.06	0.07	0.22	-0.41	-0.1	-0.28	-0.44	-0.07	0.14	-0.18	0.03	-0.29	-0.09	-0.18	-0.15	0.03	-0.43	-0.13	0.5	0.1	0.61	-0.29	-0.5	-0.63	-0.67	-0.61	-1.12	-1.12	-1.19	-1.3	-0.3	-0.02	""	""
AGAP012628	1.98	0.46	1.36	-0.22	1.59	-0.53	0.9	1.31	2.15	1.66							1.15	0.68	0.74	1.02	1.14	-1.98	-0.29	-0.67	0.29	-0.74	0.59	0.68	0.84	1.03	0.58	0.14	0.81	-1.63	-2.42	""	""
AGAP002971	-0.99	0.43	-0.7	1.24	-0.72	-0.52	0.21	0.81	0.99	1.09	-0.57	-1.12	-0.7	-1.25	-1.05	-1.6	1.06	0.68	0.62	0.2	0.63	1.11	0.89	0.91	0.54	-0.62	-0.79	-0.62	-0.71	-0.74	-1.34	-0.5	-0.56	-0.32	1.02	alpha8	nicotinic acetylcholine receptor subunit alpha 8 [Source:VB Community Annotation]
AGAP006601	0.54	-0.16	0.39	0.01	0.1	0.22	-0.12	-0.44	-0.22	0	0.42	0.19	0.41	0.17	0.53	0.3	0.62	0.31	0.55	0.32	0.33	0.55	0.42	0.58	-0.3	-0.04	0.27	0.15	0.18	0.75	0.53	0.66	0.75	-0.51	-0.42	""	""
AGAP011291	-0.51	0.12	-0.49	-0.08	-0.12	0	0.01	-0.11	-0.24	-0.24	1.93	0.66	1.87	0.59	1.69	0.41	-0.2	-0.14	0.37	0.36	0.61	0.23	0.1	0.13	0.16	-0.06	-0.17	-0.14	-0.14	-0.77	-0.39	-0.43	-0.67	0.23	0.54	""	UPF0466 protein AGAP011291, mitochondrial [Source:VB Community Annotation]
AGAP011383	-0.64	0.42	-0.16	-0.34	0.17	-0.04	-0.45	-0.55	-0.2	-0.29	-0.5	0.29	-0.05	0.74	0.18	0.98	0	-0.25	-0.02	-0.15	-0.15	0.01	-0.08	0.3	0.49	0.22	0.09	-0.31	-0.01	1.14	1.18	0.75	1.21	-0.34	-0.17	""	rRNA-processing protein EBP2 [Source:VB Community Annotation]
AGAP012503	-1.12	0.17	-0.35	0.44	-1.46	-0.26	-0.97	-0.36	-0.3	0.02							-0.38	-0.32	-0.6	-0.51	-0.54	0.95	0.71	0.82	0.29	-0.68	-0.71	-0.5	-0.94	-0.05	-0.27	-0.27	-0.27	0.16	0.47	""	Developmentally regulated RNA-binding protein [Source:VB Community Annotation]
AGAP008193	-1.07	-0.39	-0.25	0.6	-0.5	-0.09	0.61	-0.4	0.45	0.82	-1.15	-1.33	-1.29	-1.48	-1.18	-1.36	-0.64	-0.38	-0.8	-0.81	-0.7	-0.02	-0.09	-0.24	0.24	0.43	-0.01	-0.06	-0.04	-0.68	-0.71	-0.41	-0.64	-0.05	0.36	""	nidogen (entactin) [Source:VB Community Annotation]
AGAP001813	-0.53	0.14	-0.12	0.46	-0.04	0.18	0.01	0.35	0.03	0.18	-0.07	-0.41	-0.13	-0.47	-0.34	-0.68	-0.17	-1.26	-1.06	-0.53	-0.83	-0.47	-0.7	-0.27	0.85	-0.26	-0.15	0.15	-0.12	-0.52	-0.51	-0.41	-0.54	0.01	0.14	""	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q7PUQ8]
AGAP010311	1.43	-0.45	-0.73	0.13	-0.89	0.09	-0.25	-0.92	-0.38	-0.22	0.98	-0.49	0.56	-0.9	0.97	-0.5	-0.05	0.08	0.3	0.24	0.27	-0.23	-0.02	-1.6	0.63	-0.66	-1.22	1.25	0.97	-0.04	0.99	1.59	1.06	0.54	1.91	""	dehydrogenase/reductase SDR family member 11 precursor [Source:VB Community Annotation]
AGAP005034	-0.91	0.48	-0.3	1.12	-0.55	-0.26	0.01	0.74	0.91	0.97	-0.28	-0.25	-0.69	-0.66	-0.97	-0.94	0.86	0.72	0.55	0.31	0.36	0.93	0.91	0.92	0.03	-0.78	-0.78	-0.55	-0.23	-0.29	-1.15	-0.23	-0.26	-0.37	0.71	GPRMGL5	putative metabotropic glutamate receptor 5 [Source:VB Community Annotation]
AGAP002141	0.34	0.38	0.25	0.04	-0.47	-0.5	-0.01	0.08	0.01	0.02	-0.34	-0.21	-0.34	-0.22	-0.38	-0.25	-0.09	0.02	0.14	0.1	0.15	0.11	-0.12	0.16	-0.01	-0.39	-0.35	0.02	-0.33	-0.49	-0.3	-0.25	-0.3	-0.4	-0.4	""	protein phosphatase PTC7 homolog fig [Source:VB Community Annotation]
AGAP028164	0.73	-0.15	0.53	-0.73	-0.61	-1.03	-0.01	-0.77	-1	-0.63	0.05	-0.09	0.36	0.21	0.3	0.16	0.59	0.55	0.86	1.03	0.94	-0.09	-0.27	-0.41	-0.87	-0.96	-0.39	-0.34	-1.12	-2.02	-1.03	-1.96	-2.23	-0.36	-1.71	""	""
AGAP007810	0.37	-0.31	0.36	0.1	0.01	0.05	-0.03	-0.31	-0.42	-0.25	0.36	0.06	0.31	0	0.34	0.04	0.21	0.15	0.27	0.34	0.22	0.04	-0.15	0.19	0.24	0.16	0.34	0.19	0.24	-0.18	0.02	-0.45	-0.22	-0.53	-0.74	""	DNA-directed RNA polymerase II subunit RPB1 [Source:VB Community Annotation]
AGAP001933	0.94	0.28	0.61	-0.12	0.24	0.07	0.43	0.1	0.84	0.61	0.06	1.51	0.24	1.69	0.53	1.99	-0.32	-0.36	-0.34	-0.31	-0.49	-0.48	-0.78	-0.31	1.22	0.41	0.13	0.16	0.54	2.14	2.6	2.54	2.43	0.16	-0.11	""	kinase [Source:VB Community Annotation]
AGAP002272	-0.58	-0.51	-0.27	1.07	-0.38	-0.32	-0.13	-0.3	0.33	0.47	-0.07	-0.38	-0.29	-0.6	-0.27	-0.57	-0.25	0.01	-0.19	-0.05	-0.26	1.01	0.82	1.23	0.59	-0.04	-0.19	0.06	0.12	0.04	-0.03	0	-0.01	-0.15	0.89	""	ankyrin [Source:VB Community Annotation]
AGAP002608	-0.82	0.02	0.37	0.2	-0.12	0.25	-0.53	-0.25	-0.18	-0.3	-0.21	-0.21	-0.41	-0.42	-0.28	-0.29	0.26	-0.16	0.08	0.07	-0.05	0.35	0.35	0.2	0.44	-0.07	-0.03	-0.37	-0.72	-0.6	-0.52	-0.29	-0.51	0.03	0.08	""	Ribokinase [Source:UniProtKB/TrEMBL;Acc:Q7QCF9]
AGAP012433	-0.71	0.11	-0.42	0.43	-0.42	0.01	-0.28	-0.14	0.12	0.21	-0.93	-1.38	-0.97	-1.43	-0.56	-1.02	0.44	0.63	0.29	0.43	0.51	0.4	0.23	-0.18	0.15	-0.52	-0.61	-0.29	-0.24	-0.91	-0.72	-0.5	-0.61	0.17	0.98	""	""
AGAP003827	-0.55	-0.05	-0.02	0.4	0.04	0.07	-0.35	-0.77	-0.32	-0.04	0.5	0.24	0.38	0.12	0.56	0.31	-2.04	-3.27	-1.75	-2.05	-1.86	0.69	0.81	0.65	-0.43	-0.44	-0.17	-0.41	-0.38	-0.66	-1.29	-0.96	-0.76	0.05	0.06	""	""
AGAP006633	-1.01	-0.31	-0.79	0.69	-0.3	-0.09	-0.43	-0.45	-0.29	-0.52	0.42	-0.1	-0.01	-0.54	0.12	-0.4	0.42	0.27	0.37	0.37	0.4	-0.41	0.05	-0.32	-0.14	-0.13	0.01	0.2	0.29	-0.48	-0.46	-0.6	-0.34	-0.21	0.16	""	Syntrophin, gamma 2 [Source:VB Community Annotation]
AGAP029102	0.51	-0.16	0.6	0.04	0.58	0.73	-0.06	-0.11	0.26	0.5	0.13	0.52	0.04	0.44	0.34	0.73	-0.08	-0.17	-0.07	-0.16	-0.24	0.43	0.15	0.48	-0.34	0.33	0.25	0.04	0.09	0.62	0.32	0.72	0.84	-0.18	0.08	""	""
AGAP007580	0.3	0.11	0.09	-0.21	0.23	0.17	-0.18	0.04	-0.28	-0.32	-0.15	0.02	-0.23	-0.07	-0.12	0.04	-0.37	-0.17	-0.09	-0.17	-0.06	0.25	0.1	0.28	-0.7	0	0.11	0.06	-0.11	0.08	0.32	0.04	0.06	-0.24	-0.13	RpL18	60S ribosomal protein L18 [Source:UniProtKB/Swiss-Prot;Acc:Q7QJM5]
AGAP002374	0.6	-0.59	0.83	0.05	0.48	-0.06	-0.1	-0.62	-0.53	-0.41	0.17	0.21	0.42	0.45	0.55	0.58	-0.43	-0.36	-0.23	-0.27	-0.34	-0.14	-0.17	0.17	-0.24	0.23	0.74	0.37	0.39	0.38	0.59	0	0.5	-0.22	-0.6	""	heterogeneous nuclear ribonucleoprotein A1/A3 [Source:VB Community Annotation]
AGAP001624	-0.68	0	-0.41	0.8	-0.55	-0.01	0.3	0.57	0.24	0.38	0.02	-0.73	0.02	-0.73	-0.25	-1	0.37	0.32	0.32	0.53	0.43	0.5	0.28	0.37	0.4	-0.25	-0.25	-0.07	-0.13	-0.77	-0.91	-0.82	-0.88	-0.55	-0.01	""	""
AGAP001099	0.48	0.2	0.24	-0.46	-0.1	0.2	-0.05	-0.33	-0.03	-0.05	0.11	0.2	0.25	0.33	0.38	0.46	-0.5	-0.38	-0.23	-0.36	-0.34	0.02	-0.17	-0.07	0.23	0.26	0.26	0.37	0.37	0.46	0.87	0.67	0.56	-0.23	-0.63	""	Polybromo-1 [Source:VB Community Annotation]
AGAP010110	-4.21	-0.25	-2.42	-1.11	1.7	0.44	-4.57	-6.64	-7.4	-7.15	-0.49	-3.2	-0.7	-3.41	-0.51	-3.22	-0.6	-0.99	-0.22	-0.62	0.23	-1.22	0.73	-0.99	-2.04	3.05	3.03	-0.94	-2.19	-3.85	-2.75	-3.19	-2.89	0.04	-1.2	""	""
AGAP003354	2.02	0.3	1.76	-0.32	-1.28	-0.29	-0.27	-1.64	-3.35	-3.74	-0.74	-0.62	-1.88	-1.76	-2.45	-2.35	2.07	1.31	2.47	2.5	2.61	-0.57	-0.27	-0.51	-0.18	1.01	1.82	0.18	-0.17	-0.33	0.56	0.63	-0.16	3.67	4.79	A5R3	antigen 5 related protein 3 [Source:VB Community Annotation]
AGAP000215	-0.84	-0.64	-0.2	1	-0.15	-0.23	-0.24	-0.13	0.77	0.45	0.3	-0.47	0.19	-0.58	-0.1	-0.87	0.61	0.68	0.52	0.49	0.4	0.59	0.65	0.4	0.21	-0.87	-0.52	-0.45	-0.4	0.28	-0.83	-0.23	0.1	-0.03	1.2	""	homeobox protein OTX [Source:VB Community Annotation]
AGAP003207	-0.51	-0.05	-0.38	-0.15	-0.04	0.17	-0.3	-0.28	-0.32	-0.22	0.16	0.17	0	0.01	-0.1	-0.09	0.04	-0.04	-0.05	0	-0.11	0.26	0.07	0.07	0.17	0.07	-0.22	-0.19	-0.12	0.03	-0.29	0.19	0.25	0.12	0.28	""	signal peptide peptidase-like 3 [Source:VB Community Annotation]
